        Type         |        Subtype        |   Base   |   Size   |  CRC32   |   Name 
 NVAR entry          | Full                  | 0001FA63 | 00000028 | D146BF62 | --- 01368881-C4AD-4B1D-B631-D57A8EC8DB6B | AcpiResetVar
 NVAR entry          | Link                  | 0001FA8B | 00000069 | 43EE3354 | --- 01368881-C4AD-4B1D-B631-D57A8EC8DB6B | PreviousMemoryTypeInformation
 NVAR entry          | Link                  | 0001FAF4 | 00000061 | 2A37B61B | --- 01368881-C4AD-4B1D-B631-D57A8EC8DB6B | MemoryTypeInformation
 NVAR entry          | Full                  | 0001FB55 | 0000050A | F6F2899E | --- 01368881-C4AD-4B1D-B631-D57A8EC8DB6B | AmiPeiVarStr
 NVAR entry          | Full                  | 0002005F | 00000037 | 41A842ED | --- 81C76078-BFDE-4368-9790-570914C01A65 | AmiHardwareSignatureSetupUpdateCountVar
 NVAR entry          | Full                  | 00020096 | 00000019 | 625407F5 | --- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | AcerBootInit
 NVAR entry          | Full                  | 000200AF | 0000008A | C39F3542 | --- 8BE4DF61-93CA-11D2-AA0D-00E098032B8C | Boot0000
 NVAR entry          | Full                  | 00020139 | 00000017 | 575FE916 | --- 8BE4DF61-93CA-11D2-AA0D-00E098032B8C | BootOrder
 NVAR entry          | Full                  | 00020150 | 00000012 | 5DDC8B54 | --- 48E75953-73C0-485F-BC7F-09279BBE31F3 | OsVer
 NVAR entry          | Full                  | 00020162 | 0000033D | B34F68D6 | --- 8732B833-5367-422C-A77D-99E5B51039A8 | HSTI_RESULTS
 NVAR entry          | Full                  | 0002049F | 00000E38 | AA7FDDB4 | --- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | Setup
 NVAR entry          | Full                  | 000212D7 | 000003D7 | 409F193C | --- B08F97FF-E6E8-4193-A997-5E9E9B0ADB32 | CpuSetup
 NVAR entry          | Full                  | 000216AE | 00005015 | A84EF144 | --- 4599D26F-1A11-49B8-B91F-858745CFF824 | AcerStdDefault
 NVAR entry          | Full                  | 000216C8 | 00000E38 | 1AAE556C | ---- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | Setup
 NVAR entry          | Full                  | 00022500 | 0000001E | 94187FA9 | ---- 8BE4DF61-93CA-11D2-AA0D-00E098032B8C | PlatformLang
 NVAR entry          | Full                  | 0002251E | 00000015 | F0B3B0A4 | ---- 8BE4DF61-93CA-11D2-AA0D-00E098032B8C | Timeout
 NVAR entry          | Full                  | 00022533 | 00000068 | 8A157268 | ---- C811FA38-42C8-4579-A9BB-60E94EDDFB34 | AMITSESetup
 NVAR entry          | Full                  | 0002259B | 000003D7 | 8E34999A | ---- B08F97FF-E6E8-4193-A997-5E9E9B0ADB32 | CpuSetup
 NVAR entry          | Full                  | 00022972 | 0000058B | 0F3329D6 | ---- 72C5E28C-7783-43A1-8767-FAD73FCCAFA4 | SaSetup
 NVAR entry          | Full                  | 00022EFD | 00000823 | C72F94D4 | ---- 4570B7F1-ADE8-4943-8DC3-406472842384 | PchSetup
 NVAR entry          | Full                  | 00023720 | 00000044 | B80C4922 | ---- A1D89A3A-4A90-429D-4365-1F64C3A29614 | NhltEndpointsTableConfigurationVariable
 NVAR entry          | Full                  | 00023764 | 00000049 | BBE6F5C4 | ---- 5432122D-D034-49D2-A6DE-65A829EB4C74 | MeSetup
 NVAR entry          | Full                  | 000237AD | 0000002C | 755676A8 | ---- 5432122D-D034-49D2-A6DE-65A829EB4C74 | MeSetupStorage
 NVAR entry          | Full                  | 000237D9 | 0000001A | 9C60C009 | ---- AAF8E719-48F8-4099-A6F7-645FBD694C3D | SiSetup
 NVAR entry          | Full                  | 000237F3 | 00000020 | 4646CAA9 | ---- B5FBE0C8-A72A-408D-859C-0FD7537AAA5F | LpeSetup
 NVAR entry          | Full                  | 00023813 | 0000002C | 4773E518 | ---- DE0A5E74-4E3E-3D96-A440-2C96ECBD3C97 | DebugConfigData
 NVAR entry          | Full                  | 0002383F | 00000020 | BB7ADAE8 | ---- C61C31A3-CB5D-46DD-9FE5-8A82BBC72483 | AmiWrapperSetup
 NVAR entry          | Full                  | 0002385F | 00000019 | A07E6D39 | ---- 6B0CC1BC-910F-411E-B6CB-0E314D0BB8C1 | SioSetupData
 NVAR entry          | Full                  | 00023878 | 00000047 | 1BF65252 | ---- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | UsbSupport
 NVAR entry          | Full                  | 000238BF | 00000023 | DE6B6B71 | ---- D1405D16-7AFC-4695-BB12-41459D3695A2 | NetworkStackVar
 NVAR entry          | Full                  | 000238E2 | 00000072 | 143E9734 | ---- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | SdioDevConfiguration
 NVAR entry          | Full                  | 00023954 | 00000022 | 57F44DC9 | ---- 7B59104A-C00D-4158-87FF-F04D6396A915 | SecureBootSetup
